hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history_loss,history_score
"(128,)",LeakyReLu(0.03),10,0.001,0.2,0,0.85,512,0.0922,"[20.805943845991788, 20.799718857602564, 20.798448451808856, 20.77532706636312, 20.767577591021418, 20.762241886687786, 20.747505179480605, 20.739374582400796, 20.707106275240275, 20.693004770929978, 20.688304269493198]","[0.0965, 0.0967, 0.0969, 0.09733333333333333, 0.09781666666666666, 0.09826666666666667, 0.09898333333333334, 0.0997, 0.10053333333333334, 0.10115, 0.10171666666666666]"
"(128,)",LeakyReLu(0.03),10,0.01,0.1,0.001,0,512,0.0999,"[21.09389405208347, 21.057345896970368, 21.032104436282758, 20.976627405637593, 20.93855501801719, 20.901880159406403, 20.849071226582392, 20.79334043932244, 20.743072476619908, 20.698140292457563, 20.63885259817736]","[0.08551666666666667, 0.0869, 0.08836666666666666, 0.09043333333333334, 0.09188333333333333, 0.09363333333333333, 0.09601666666666667, 0.09838333333333334, 0.1008, 0.10276666666666667, 0.10521666666666667]"
"(128,)",LeakyReLu(0.03),10,0.01,0.1,0.001,0.85,512,0.2735,"[20.73838755326595, 20.37479665073615, 19.995087641396722, 19.595309317769065, 19.197312440454127, 18.817231096165006, 18.41580961004113, 18.033319838925873, 17.61335569831361, 17.229600702108428, 16.840004392006048]","[0.10113333333333334, 0.11646666666666666, 0.13308333333333333, 0.15021666666666667, 0.16785, 0.1847, 0.20205, 0.21871666666666667, 0.23651666666666665, 0.2538166666666667, 0.27021666666666666]"
"(128,)",LeakyReLu(0.03),10,0.01,0.1,0,0,512,0.1098,"[21.058246436624856, 21.008954691828468, 20.9732562890249, 20.930570654355865, 20.87594320522584, 20.823983608262633, 20.788920408355924, 20.734928162122777, 20.695037420199927, 20.64447526960981, 20.597470255242126]","[0.08568333333333333, 0.08755, 0.08918333333333334, 0.09126666666666666, 0.09336666666666667, 0.09535, 0.09731666666666666, 0.09931666666666666, 0.10156666666666667, 0.10341666666666667, 0.10561666666666666]"
"(128,)",LeakyReLu(0.03),10,0.01,0.1,0,0.85,512,0.2699,"[21.0602790858948, 20.638504362379333, 20.12360889418406, 19.588386933289257, 19.056468027458134, 18.58324186929694, 18.138853922653215, 17.760527077283008, 17.389568585516372, 17.010606537249313, 16.669629622214494]","[0.08545, 0.10396666666666667, 0.1254, 0.14916666666666667, 0.1725, 0.19326666666666667, 0.21183333333333335, 0.22888333333333333, 0.24546666666666667, 0.26066666666666666, 0.2763]"
"(128,)",LeakyReLu(0.03),10,0.01,0.2,0.001,0,512,0.103,"[21.137545224042547, 21.078295591914763, 21.057412388304904, 21.009088601156424, 20.951745104482182, 20.904183900848984, 20.844935124577134, 20.799279849848404, 20.742572204551024, 20.690819290994693, 20.629030321262377]","[0.08521666666666666, 0.08745, 0.0888, 0.0907, 0.09285, 0.09515, 0.0976, 0.09981666666666666, 0.1023, 0.10478333333333334, 0.1072]"
"(128,)",LeakyReLu(0.03),10,0.01,0.2,0.001,0.85,512,0.2588,"[20.83077534996964, 20.534891250558175, 20.217188137187485, 19.844609622523734, 19.474323490088338, 19.10569441465416, 18.72335022000207, 18.33427813695335, 17.93847804690962, 17.586385031424598, 17.20012317336914]","[0.0987, 0.11108333333333334, 0.125, 0.14088333333333333, 0.15731666666666666, 0.17375, 0.19035, 0.20731666666666668, 0.224, 0.24021666666666666, 0.25605]"
"(128,)",LeakyReLu(0.03),10,0.01,0.2,0,0,512,0.1084,"[21.092039230737843, 21.03982555261589, 20.995361349835648, 20.955851729650927, 20.90274876747337, 20.84405601980343, 20.817885660452777, 20.761987805529035, 20.72501899693174, 20.66302319419815, 20.619829397211618]","[0.08413333333333334, 0.0862, 0.08821666666666667, 0.09023333333333333, 0.09226666666666666, 0.0944, 0.09605, 0.09813333333333334, 0.10018333333333333, 0.10253333333333334, 0.10456666666666667]"
"(128,)",LeakyReLu(0.03),10,0.01,0.2,0,0.85,512,0.2595,"[21.102964720563847, 20.62173500590219, 20.056912590013688, 19.52130950738079, 19.043382847782805, 18.640029008276283, 18.241883832524028, 17.909037514569032, 17.580256495153947, 17.226067359864448, 16.909990398386572]","[0.08358333333333333, 0.1047, 0.12831666666666666, 0.1521, 0.173, 0.19078333333333333, 0.20761666666666667, 0.22253333333333333, 0.2372, 0.2513166666666667, 0.26593333333333335]"
"(64, 64)",ReLu,10,0.001,0.1,0.001,0,512,0.1398,"[19.893164885962584, 19.89774196572101, 19.883389999486404, 19.889745648166933, 19.87755337295647, 19.88924472727328, 19.884166725486764, 19.888235645837597, 19.890398958290213, 19.886337283147334, 19.893328138652]","[0.13765, 0.13766666666666666, 0.13771666666666665, 0.1378, 0.13768333333333332, 0.13775, 0.13768333333333332, 0.13765, 0.1377, 0.13773333333333335, 0.13771666666666665]"
